CLIENTE,CODIGO,PRODUCTO,CANTIDAD,PRECIO
MEDITAR,041084510,3TC 150 CM 60,1.00,333.360
MEDITAR,,STAMAR 40 CP 60,1.00,423.300
MEDITAR,035668510,HIDROXIUREA ASOFARMA 500 CP 100,1.00,198.890
MEDITAR,035668510,HIDROXIUREA ASOFARMA 500 CP 100,1.00,198.890
CORPORACION ASISTENCIAL,030712510,LUPRON DEPOT 7.5 KIT1,1.00,759.640
CORPORACION ASISTENCIAL,029259010,ANDROCUR 50 CM 50,3.00,372.800
CORPORACION ASISTENCIAL,030712510,LUPRON DEPOT 7.5 KIT1,1.00,759.640
CORPORACION ASISTENCIAL,029259010,ANDROCUR 50 CM 50,3.00,372.800
CORPORACION ASISTENCIAL,031331220,DIEMON 20 CM 30,2.00,43.480
CORPORACION ASISTENCIAL,031331220,DIEMON 20 CM 30,2.00,43.480
CORPORACION ASISTENCIAL,031331220,DIEMON 20 CM 30,2.00,43.480
CORPORACION ASISTENCIAL,031331220,43.480
FEMEBA LA MATANZA,039384310,MITOMICINA LABINCA 20 FRA1,8.00,413.030
FEMEBA LA MATANZA,039384310,MITOMICINA LABINCA 20 FRA1,8.00,413.030
O.S.D.I.C.,031998010,LEDERFOLIN CM 10,6.00,85.470
